Model,Train_MAE,Test_MAE,Train_R2,Test_R2
Random Forest,1054.2046486836525,2621.5727844435755,0.9698063186282786,0.8225169061088071
Gradient Boosting,2764.385219595018,2938.193121747655,0.9083449273754849,0.7202859745022614
Linear Regression,4575.06139192173,4600.602717076157,0.6617185588650539,0.6588466322399995
